parameter_A,parameter_B,broad_screen_score
MEASURE_ET_lkg_10,MEASURE_ET_Rc_OG142_GN,0.4252079044551498
FIC_ET_lkg_SY8_80,FIC_ET_Rc_f_tn_23,0.42519786359582346
SIN_GATE_ET_lkg_SY8_80,SIN_GATE_ET_Rc_an_ct2,0.4251974755863128
THIN_ET_Rc_cat_ct2,TOPSIN_ET_lkg_SY07_10,0.42510789085762035
MEASURE_ET_DC_RF_Imax_W,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4251012330689541
MEASURE_ET_DC_SEC_Idss,THIN_ET_lkg_100_at20V,0.42502853542490965
MEASURE_ET_lkg_CapFICM1,THIN_ET_Rc_cat_ct2,0.42498461880259647
MEASURE_ET_DC_RF_S11ang_10GHz,TOPSIN_ET_lkg_C450pf,0.42493873589921355
THIN_ET_Rc_f_tn_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.42491242817467545
THIN_ET_lkg_100_at20V,TOPSIN_ET_DC_SMALL_Vdg_max,0.4248819590378807
THIN_ET_TF_AB_1,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.42455035534250335
MEASURE_ET_DC_SMALL_Vp_1,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.42453934241902036
SIN_GATE_ET_lkg_SY8_80,THIN_ET_Rcat_cn_3,0.4244063698450513
MEASURE_ET_DC_RF_Gm_m0p2_W,THIN_ET_lkg_100_at20V,0.42438584385247746
MEASURE_ET_Load_Pull_Gss,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.42436806778652825
SIN_GATE_ET_lkg_SY8_80,TOPSIN_ET_CapFICM1,0.4243145013817468
