,fold_0,fold_1,fold_2,fold_3,fold_4
GATE2_CD_330nm_Gate_Win_Length,0.0001489794920395877,0.0003161529978599592,5.9048555378702596e-05,0.0006330945249964883,0.00022059803407770636
GATE2_CD_358nm_Gate_Leg_Length,0.00023141387765721167,5.551852687422217e-05,0.00030560225277870273,0.00016413800381242426,0.0003489979228960714
GATE2_CD_358nm_Gate_Win_Length,0.0003595509435680174,0.00010684459934870738,3.9999827954800587e-05,0.00011144179515340154,5.954590837687854e-05
GATE2_CD_Gate_Leg_Length,2.9210604412270284e-05,0.0002449529329873373,0.0005155810733588464,0.004173466709105052,0.00034515740405554235
GATE2_CD_Gate_Win_Length,0.0001170365568606195,0.0001663686425228381,0.0004007453238868487,0.00026031856146813804,0.0010137136822482454
GATE2_CD_HPA_CB_Gate_Win_Length,0.0003859813428191086,7.735455696021145e-05,0.00010083527562936103,0.00012256464492094095,0.00016849529586675973
GATE2_ET_Ids2_Gate_recess_current,0.0026681035151540308,0.00016939808856317306,0.0003445850309029532,0.0019549447399062696,3.0943487898880746e-05
GATE2_Thickness4_PMMA_PR_etch_thickness,4.3006495935594045e-05,0.0006712312435969725,0.0005446313588697109,9.16610718580062e-05,4.502209436951632e-06
HIRS_M_Gauge_P_E_MoSi,0.000527766721671712,0.0001975492112163724,2.1558244877366393e-05,0.0004006527005123129,0.00021663789371322964
Lot_type_ENG,0.0,0.0,0.0,0.0,0.0
Lot_type_PROD,0.0,0.0,0.0,0.0,0.0
MEASURE_ET_ABVIETCH,0.025827491677845895,0.014706751884654666,0.16699017941163227,0.017654079990502728,0.2008576762649702
MEASURE_ET_C100,0.0015267397116250662,0.0019003762524280115,0.0003534001072379672,0.0021164365982795142,0.005947749320765231
MEASURE_ET_C100C175pf,0.00013319999536956018,0.001555551358060118,0.00012163309405185356,0.000588399417830353,0.0
MEASURE_ET_C100C300pf,0.0,0.00037851640832371806,4.916911844301838e-05,0.0,0.0025186812840915815
MEASURE_ET_C100C385pf,0.0,0.0,0.00041606460538213164,8.866642999093014e-05,0.0024722113924438333
MEASURE_ET_C100C500pf,8.745830869005155e-05,0.002180526174602306,0.0009770864015549775,0.00564918358143316,0.0
MEASURE_ET_C100Cap1pf,0.0002093373105955627,7.336221163416262e-05,1.8048992550177302e-05,0.00021323345185339317,1.3836030097063203e-05
