,0
MEASURE_ET_DC_RF_Max_S11_Freq_L1018,19.757570266723633
SIN_ET_DC_RF_Idss,19.748697630595416
FIC_ET_DC_PIV_Ids0_QP2,19.53588353516534
MEASURE_ET_lkg_50,19.413568932563066
MaskSetName_MS_A,19.374271124601364
MEASURE_ET_DC_RF_Vbgs_0p01,18.801169633865356
TOPSIN_ET_DC_PIV_Ids1_QP1,18.784509897232056
MEASURE_ET_RF_Modeling_S11dB_10GHz,18.71985085075721
MEASURE_ET_DC_RF_S11ang_26GHz_W,18.50842347147409
FIC_ET_R114,18.457199096679688
MEASURE_ET_DC_SEC_n_gs,18.269403079757467
MEASURE_ET_RF_Modeling_Cds,18.185666207689792
MEASURE_ET_DC_Stress_Vd_stress,17.85875380388461
MEASURE_ET_R_f_tn_1,17.722686886787415
MEASURE_ET_DC_SEC_S_Ig_cut2_mAmm_neg_SD3p5,17.595300495624542
TOPSIN_ET_C100Cap3pf,16.862103313207626
TOPSIN_ET_CapFICBRGM_0,16.732564413454384
SIN_GATE_ET_lkg_SY8_80,16.70319938659668
MEASURE_ET_Cap1pf_0,16.3482573479414
MEASURE_ET_C100C300pf,16.250282569322735
MEASURE_ET_sh_f_hr_23,16.14778748061508
TOPSIN_ET_lkg_C300pf,15.767444212455302
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg1_FPSD3p2,15.142806432209909
MEASURE_ET_DC_SMALL_Vg_gm_max,15.034800573252141
MEASURE_ET_lkg_Cap_USV,15.012499809265137
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,14.80028996989131
MEASURE_ET_C100USV_Cappf,14.77336972206831
MEASURE_ET_lkg_SY07_10,14.595199584960938
FIC_ET_DC_RF_Vg_optt,14.404303872492164
MEASURE_ET_R_4000_HOR,14.239788516424596
MEASURE_ET_Cap_C300FB,14.023799896240234
MEASURE_ET_Cap1pf,14.015219478402287
BRGM_ET_F_AB,13.909820079803467
SIN_ET_DC_RF_n_gd,13.837419275660068
CATHODE_ET_Rc_cat_ct2,13.821388697018847
TOPSIN_ET_C100CapUSV,13.570184350013733
MEASURE_ET_DC_SEC_S_Vg_at_I1_neg,13.478672876721248
THIN_ET_R_f_tn_1,13.469939568080008
MEASURE_ET_DC_SMALL_Vp_1,13.4168775905855
