parameter_A,parameter_B,channels,n_channels
TOPSIN_ET_C100Cap1pf,MEASURE_ET_CapPARCAP_0,B_existing_shap_interaction,1
MEASURE_ET_DC_SEC_Ids_min_ON,MEASURE_ET_lkg_50_at20V,B_existing_shap_interaction,1
TOPSIN_ET_DC_PIV_Ids1_QP1,TOPSIN_ET_Gate_res,A_top_score2_nonadditivity,1
TOPSIN_ET_C100Cap1pf,MEASURE_ET_DC_RF_K_W,B_existing_shap_interaction,1
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,MEASURE_ET_DC_Big_S12dB_10GHz,B_existing_shap_interaction,1
MEASURE_ET_ABVIETCH,FIC_ET_DC_RF_Vbgs_0p01,B_existing_shap_interaction,1
TOPSIN_ET_C100Cap1pf,OHMIC_ET_Rsh_an_ct2,B_existing_shap_interaction,1
MEASURE_ET_lkg_50_at20V,MEASURE_ET_VIA_KLV,B_existing_shap_interaction,1
TOPSIN_ET_C100Cap1pf,MEASURE_ET_DC_RF2_MAG_26GHz,B_existing_shap_interaction,1
MEASURE_ET_DC_Big_S12dB_10GHz,MEASURE_ET_DC_SMALL_Ids_m0p2,B_existing_shap_interaction,1
SIN_GATE_ET_lkg_SY8_80,THIN_ET_Rcat_cn_3,B_existing_shap_interaction,1
MEASURE_ET_RF_Modeling_Mag_d,TOPSIN_ET_Cap3pf_0,C_existing_h_statistic,1
TOPSIN_ET_lkg_C450pf,MEASURE_ET_Rcat_cn_2,C_existing_h_statistic,1
THIN_ET_lkg_100_at20V,MEASURE_ET_C300pf,C_existing_h_statistic,1
TOPSIN_ET_lkg_C450pf,MEASURE_ET_CapPARCAP,C_existing_h_statistic,1
THIN_ET_DC_RF_Vg_optt3,TOPSIN_ET_lkg_C450pf,C_existing_h_statistic,1
TOPSIN_ET_lkg_C450pf,MEASURE_ET_DC_RF2_S22dB_26GHz,C_existing_h_statistic,1
TOPSIN_ET_lkg_C450pf,MEASURE_ET_DC_RF_Id_Vbon_min,C_existing_h_statistic,1
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_SD3p5,TOPSIN_ET_DC_PIV_Drain_Lag_1,C_existing_h_statistic,1
THIN_ET_lkg_100_at20V,TOPSIN_ET_DC_SMALL_Vdg_max,C_existing_h_statistic,1
SIN_GATE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,C_existing_h_statistic,1
MEASURE_ET_DC_RF2_S11ang_26GHz,TOPSIN_ET_DC_PIV_Drain_Lag_1,C_existing_h_statistic,1
TOPSIN_ET_lkg_C450pf,CATHODE_ET_Rcat_cn_2,C_existing_h_statistic,1
TOPSIN_ET_lkg_C450pf,MEASURE_ET_Rc_OG144,C_existing_h_statistic,1
TOPSIN_ET_C100Cap1pf,SIN_GATE_ET_Ran_con_2,D_tree_path_cooccurrence,1
TOPSIN_ET_C100Cap1pf,ANODE_ET_Probe_Number,D_tree_path_cooccurrence,1
MEASURE_ET_lkg_50_at20V,MEASURE_ET_DC_Stress_Id_stress_before,D_tree_path_cooccurrence,1
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,MEASURE_ET_DC_RF2_MAG_26GHz,D_tree_path_cooccurrence,1
TOPSIN_ET_C100Cap1pf,MEASURE_ET_DC_SEC_X_Vg_at_I3_pos,D_tree_path_cooccurrence,1
TOPSIN_ET_C100Cap1pf,MEASURE_ET_DC_RF2_S22dB_26GHz,D_tree_path_cooccurrence,1
TOPSIN_ET_C100Cap1pf,TOPSIN_ET_C300,D_tree_path_cooccurrence,1
MEASURE_ET_lkg_50_at20V,MEASURE_ET_DC_Big_S12dB_10GHz,D_tree_path_cooccurrence,1
TOPSIN_ET_C100Cap1pf,MEASURE_ET_RF_Modeling_Ls,D_tree_path_cooccurrence,1
TOPSIN_ET_C100Cap1pf,TOPSIN_ET_Load_Pull_P.A.E_Last,D_tree_path_cooccurrence,1
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,TOPSIN_ET_C100Cap1pf,D_tree_path_cooccurrence,1
TOPSIN_ET_C100Cap1pf,MEASURE_ET_Vbkdn_Cap100,D_tree_path_cooccurrence,1
FIC_ET_R_f_tn_2,ANODE_ET_Probe_Number,D_tree_path_cooccurrence,1
TOPSIN_ET_C100Cap1pf,THIN_ET_TF_AB_1,D_tree_path_cooccurrence,1
TOPSIN_ET_C100Cap1pf,THIN_ET_R_4000_HOR,D_tree_path_cooccurrence,1
TOPSIN_ET_DC_PIV_Drain_Lag_0,MEASURE_ET_DC_SMALL_Ids_m0p2,D_tree_path_cooccurrence,1
MEASURE_ET_DC_SEC_X_Vboff_Id,MEASURE_ET_DC_SEC_X_Vg_at_I3_pos,D_tree_path_cooccurrence,1
TOPSIN_ET_C100Cap1pf,MEASURE_ET_RF_Modeling_Gm,D_tree_path_cooccurrence,1
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,TOPSIN_ET_C100Cap2pf,D_tree_path_cooccurrence,1
TOPSIN_ET_DC_PIV_Drain_Lag_0,FIC_ET_Probe_Number,D_tree_path_cooccurrence,1
TOPSIN_ET_DC_RF_Vt_gd,SIN_GATE_ET_Ran_con_2,D_tree_path_cooccurrence,1
MEASURE_ET_DC_RF2_S21ang_26GHz,MEASURE_ET_DC_RF2_MAG_26GHz,D_tree_path_cooccurrence,1
TOPSIN_ET_C100Cap1pf,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,D_tree_path_cooccurrence,1
TOPSIN_ET_C100Cap1pf,MEASURE_ET_DC_SMALL_Ids_m0p2,D_tree_path_cooccurrence,1
MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_RF_Modeling_S21_25G_Before,D_tree_path_cooccurrence,1
THIN_ET_DC_RF_Vg_optt3,TOPSIN_ET_C100Cap1pf,D_tree_path_cooccurrence,1
MEASURE_ET_DC_SEC_Ids_min_ON,TOPSIN_ET_C100Cap1pf,D_tree_path_cooccurrence,1
TOPSIN_ET_C100Cap1pf,MEASURE_ET_DC_RF_Vg_Vbon_min,D_tree_path_cooccurrence,1
SIN_GATE_ET_RGAN2,MEASURE_ET_DC_RF2_MAG_26GHz,D_tree_path_cooccurrence,1
TOPSIN_ET_C100Cap1pf,TOPSIN_ET_DC_SMALL_Vbgs1,D_tree_path_cooccurrence,1
OHMIC_ET_Rsh_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_0,D_tree_path_cooccurrence,1
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,FIC_ET_R_f_tn_2,D_tree_path_cooccurrence,1
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,MEASURE_ET_DC_SEC_Vgs_0p5V,D_tree_path_cooccurrence,1
FIC_ET_R_f_tn_2,THIN_ET_C200_0,D_tree_path_cooccurrence,1
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,THIN_ET_Ran_con_2,D_tree_path_cooccurrence,1
MEASURE_ET_lkg_50_at20V,MEASURE_ET_DC_SMALL_Ids_m0p2,D_tree_path_cooccurrence,1
MEASURE_ET_lkg_50_at20V,MEASURE_ET_DC_RF_K_W,D_tree_path_cooccurrence,1
