parameter_A,parameter_B,parameter_C,channels,lower_order_cv_rmse,full_3way_cv_rmse,incremental_rmse_improvement_pct,lower_order_cv_r2,full_3way_cv_r2,incremental_r2,fold_reproducibility,evidence_label,reason
MEASURE_ET_C300FM1,TOPSIN_ET_C300pf,TOPSIN_ET_CapPARCAP_0,2_shared_node_chaining,2.1565,2.1338,1.054,0.0837,0.1005,0.0168,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0168."
MEASURE_ET_lkg_10,THIN_ET_Rc_TF_AB_2,TOPSIN_ET_lkg_Cap1,2_shared_node_chaining,2.1317,2.1143,0.816,0.099,0.1158,0.0168,3/5,MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0168 -- majority but not unanimous.
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,TOPSIN_ET_lkg_C300,2_shared_node_chaining,2.1542,2.1327,0.995,0.0831,0.0998,0.0168,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0168."
MEASURE_ET_Cap1pf_0,MEASURE_ET_DC_RF_CF_S11_Ph_L1002,TOPSIN_ET_lkg_CapFICM1,2_shared_node_chaining,2.1181,2.0965,1.017,0.112,0.1288,0.0168,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0168."
SIN_ET_DC_RF_Vds_max_0p1mA,SIN_ET_lkg_SY8_80,TOPSIN_ET_lkg_SY8_80,2_shared_node_chaining,2.0898,2.0717,0.863,0.1348,0.1516,0.0168,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0168."
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,MEASURE_ET_lkg_50,MEASURE_ET_lkg_Cap2,2_shared_node_chaining,2.1298,2.1103,0.916,0.1033,0.1201,0.0168,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0168."
MEASURE_ET_Vbkdn_Cap100,TOPSIN_ET_DC_RF_Vg_gm_max,TOPSIN_ET_Gm_max,2_shared_node_chaining,2.215,2.1987,0.733,0.0272,0.044,0.0168,3/5,MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0168 -- majority but not unanimous.
MEASURE_ET_DC_RF_Vt_gs,MEASURE_ET_LT_SEC_Vbgd1_Vd3,TOPSIN_ET_R414,2_shared_node_chaining,2.0468,2.0227,1.175,0.1729,0.1898,0.0168,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0168."
MEASURE_ET_DC_PIV_Idss_QP1,MEASURE_ET_DC_SEC_Idss,OHMIC_ET_OHMC,2_shared_node_chaining,2.2456,2.2244,0.94,0.0114,0.0281,0.0168,3/5,MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0168 -- majority but not unanimous.
FIC_ET_lkg_5,MEASURE_ET_DC_RF2_S11ang_26GHz,MEASURE_ET_DC_RF_S11ang_10GHz,3_edge_plus_high_conditional,2.1126,2.0951,0.832,0.1181,0.1349,0.0168,3/5,MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0168 -- majority but not unanimous.
MEASURE_ET_DC_RF_S11ang_10GHz,TOPSIN_ET_Cap1pf_0,TOPSIN_ET_Load_Pull_Id_ini,3_edge_plus_high_conditional,2.196,2.1731,1.043,0.0442,0.061,0.0168,3/5,MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0168 -- majority but not unanimous.
MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,SIN_GATE_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining,2.1773,2.1529,1.12,0.0663,0.0829,0.0167,3/5,MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0167 -- majority but not unanimous.
MEASURE_ET_lkg_C300FB,THIN_ET_DC_RF_Vg_optt3,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining,2.1026,2.0839,0.89,0.1278,0.1445,0.0167,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0167."
