raw_csv_parameter_name,shap_importance,gain_importance,permutation_importance,shap_rank,gain_rank,permutation_rank,shap_percentile,gain_percentile,permutation_percentile,percentile_spread,method_agreement
MEASURE_ET_DC_RD_Vbon_min,5.806445181913414e-05,0.0389461102895438,-1.6964127281185458e-05,1088,1068,1321,23.71929824561404,25.122807017543856,7.36842105263158,17.754385964912277,moderate_agreement
MEASURE_ET_DC_SEC_X_Vp_0p7_mA_mm,5.717611554523991e-05,0.035131100565195,-1.8264127401024237e-06,1089,1084,1166,23.64912280701754,24.0,18.24561403508772,5.754385964912281,high_agreement
MEASURE_ET_DC_RF_Gm_0_W,5.664911454233753e-05,0.025107099674642,8.583216783278336e-06,1090,1119,875,23.578947368421055,21.54385964912281,38.66666666666667,17.122807017543863,moderate_agreement
MEASURE_ET_DC_PIV_Gate_Lag_Imax,5.626717489579473e-05,0.0350277982652187,-1.6121412421163383e-05,1091,1085,1314,23.508771929824558,23.929824561403514,7.859649122807022,16.070175438596493,moderate_agreement
MEASURE_ET_RF_Modeling_Rgd_err,5.61315344010182e-05,0.0284615100827068,5.749842234670233e-06,1092,1103,908,23.43859649122807,22.666666666666668,36.35087719298246,13.684210526315791,high_agreement
FIC_ET_R_f_tn_3,5.482686818052957e-05,0.0505871792556718,-1.3790147590672651e-05,1093,1029,1292,23.368421052631582,27.859649122807017,9.403508771929825,18.45614035087719,moderate_agreement
TOPSIN_ET_DC_PIV_Gate_Lag_0,5.4198961954577015e-05,0.0663411705754697,2.5337453854087923e-05,1094,989,765,23.298245614035086,30.666666666666664,46.3859649122807,23.087719298245613,moderate_agreement
MEASURE_ET_DC_RF_Min_S21_Mag_L1018,5.393376352572694e-05,0.0375184006989002,1.4509381910943198e-05,1095,1071,829,23.228070175438596,24.912280701754387,41.89473684210526,18.666666666666664,moderate_agreement
MEASURE_ET_DC_Stress_Vp_before,5.3688221797281765e-05,0.0269030993804335,3.460083313472362e-06,1096,1110,931,23.15789473684211,22.175438596491226,34.73684210526316,12.561403508771932,high_agreement
MEASURE_ET_DC_SEC_S_Vg_at_I3_neg_SD3p5,5.309633703559022e-05,0.0249541205121204,-1.3114956995066709e-05,1097,1122,1285,23.087719298245613,21.333333333333336,9.894736842105267,13.192982456140346,high_agreement
MEASURE_ET_Rc_OG142,5.29898518577073e-05,0.0294702399987727,-2.66793328615178e-06,1098,1100,1183,23.017543859649127,22.87719298245614,17.052631578947363,5.964912280701764,high_agreement
TOPSIN_ET_RGAN1,5.29500957440737e-05,0.0308151002973318,-1.4843424266719473e-06,1099,1097,1161,22.947368421052627,23.087719298245613,18.596491228070178,4.491228070175435,high_agreement
FIC_ET_C200S1,5.2547094570701744e-05,0.0150761201512068,1.532306642793857e-05,1100,1169,824,22.87719298245614,18.035087719298247,42.24561403508772,24.210526315789473,moderate_agreement
THIN_ET_DC_RF_Vp_1,5.234300872788444e-05,0.0851905685849487,-7.544557776528737e-06,1101,949,1237,22.807017543859654,33.47368421052631,13.263157894736842,20.210526315789465,moderate_agreement
MEASURE_ET_DC_RF_MAG_35GHz,5.212680378091357e-05,0.0138082397170364,-2.059690617575993e-05,1102,1178,1333,22.736842105263154,17.403508771929822,6.52631578947368,16.210526315789473,moderate_agreement
MEASURE_ET_RF_Modeling_Vp_1_W,5.198752356970349e-05,0.0172515008598566,3.323580832617634e-06,1103,1161,933,22.666666666666668,18.596491228070178,34.59649122807018,16.0,moderate_agreement
MEASURE_ET_DC_SEC_X_Vg_at_I2_pos,5.185285641089684e-05,0.148168995976448,1.3908646224208842e-05,1104,827,831,22.59649122807017,42.03508771929825,41.754385964912274,19.438596491228076,moderate_agreement
MEASURE_ET_lkg_Cap3,5.167075353822858e-05,0.0079261902719736,4.454913780294057e-06,1105,1214,922,22.526315789473685,14.877192982456144,35.36842105263158,20.49122807017544,moderate_agreement
MEASURE_ET_DC_RF_Vp_01_W,5.153170869982017e-05,0.0373912993818521,2.3677401263053065e-05,1106,1072,779,22.456140350877195,24.842105263157897,45.40350877192982,22.947368421052627,moderate_agreement
MEASURE_ET_DC_RF_MAG_26GHz_W,5.113638669605144e-05,0.0201264701317995,-1.7891031825201242e-06,1107,1147,1164,22.3859649122807,19.57894736842105,18.385964912280706,3.999999999999993,high_agreement
THIN_Measure1GN_Thickness_after_bonding,5.0610900479031975e-05,0.0173942702822387,7.603279948306674e-06,1108,1159,892,22.315789473684212,18.736842105263165,37.473684210526315,18.73684210526315,moderate_agreement
BRGM_Cd_Metal_BRGM_Final_metal_CD,5.049889991693357e-05,0.0149842395912855,1.3377491560292998e-05,1109,1171,834,22.245614035087723,17.894736842105264,41.54385964912281,23.649122807017545,moderate_agreement
THIN_ET_sh_f_tn_23,5.036782733215072e-05,0.0250265599461272,6.189161070999094e-06,1110,1121,902,22.175438596491226,21.403508771929825,36.7719298245614,15.368421052631572,moderate_agreement
TOPSIN_ET_Load_Pull_Pout_Last,5.013894896867374e-05,0.0186537203844636,1.416116255453792e-07,1111,1155,979,22.10526315789474,19.017543859649123,31.36842105263158,12.350877192982455,high_agreement
TOPSIN_ET_CapM1BRGM,4.891037331475043e-05,0.0218737493269145,-1.2303659199866536e-05,1112,1135,1278,22.03508771929824,20.421052631578952,10.385964912280699,11.649122807017541,high_agreement
THIN_ET_DC_RF_Vg_max_Vd_0p1mA,4.8852607673726096e-05,0.0894660020712763,-7.247401663801335e-08,1113,935,1129,21.964912280701753,34.4561403508772,20.842105263157894,13.614035087719305,high_agreement
MEASURE_ET_RF_Modeling_Delta_S21_25G,4.869756864266219e-05,0.0518522588536143,-2.034717056601243e-05,1114,1024,1331,21.894736842105267,28.210526315789476,6.666666666666665,21.543859649122812,moderate_agreement
THIN_ET_Rc_TF_AB_2,4.847355767704159e-05,0.0261144004762172,8.481697584053482e-06,1115,1114,877,21.824561403508767,21.894736842105267,38.526315789473685,16.701754385964918,moderate_agreement
