parameter_A,parameter_B,mlp_h_statistic,mlp_rms_nonadditivity,fold_reproducibility,high_yield_region,low_yield_region,confidence
MEASURE_ET_DC_RF_Vbgs_0p1,MEASURE_ET_DC_RF_Vp_1_W,0.0085,0.00254,2/5,"MEASURE_ET_DC_RF_Vbgs_0p1~20.73, MEASURE_ET_DC_RF_Vp_1_W~-0.8363","MEASURE_ET_DC_RF_Vbgs_0p1~32.68, MEASURE_ET_DC_RF_Vp_1_W~-1.234",WEAK
MEASURE_ET_LT_SEC_Vbgd1_Vd7,TFRP_ET_Rc_TF_AB_2,0.0084,0.00162,2/5,"MEASURE_ET_LT_SEC_Vbgd1_Vd7~22.21, TFRP_ET_Rc_TF_AB_2~0.1388","MEASURE_ET_LT_SEC_Vbgd1_Vd7~30.97, TFRP_ET_Rc_TF_AB_2~0.2615",WEAK
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,VendorName_EPI_B,0.0083,0.01218,2/5,"MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2~16.23, VendorName_EPI_B~1","MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2~23.18, VendorName_EPI_B~0",WEAK
THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_RF_Vp_01,0.0082,0.00167,2/5,"THIN_ET_sh_f_hr_23~5.793, TOPSIN_ET_DC_RF_Vp_01~-0.829","THIN_ET_sh_f_hr_23~-0.4848, TOPSIN_ET_DC_RF_Vp_01~-1.239",WEAK
MEASURE_ET_LT_SEC_Vbgd1_Vd7,TOPSIN_ET_C100Cap1pf,0.0081,0.00196,2/5,"MEASURE_ET_LT_SEC_Vbgd1_Vd7~22.21, TOPSIN_ET_C100Cap1pf~0.9908","MEASURE_ET_LT_SEC_Vbgd1_Vd7~30.97, TOPSIN_ET_C100Cap1pf~0.596",WEAK
MEASURE_ET_ABVIETCH,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.008,0.00175,2/5,"MEASURE_ET_ABVIETCH~27.43, TOPSIN_ET_DC_PIV_Drain_Lag_0~3.685","MEASURE_ET_ABVIETCH~21.14, TOPSIN_ET_DC_PIV_Drain_Lag_0~10.11",WEAK
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,TOPSIN_ET_C100Cap1pf,0.0079,0.00148,2/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002~13.52, TOPSIN_ET_C100Cap1pf~0.9908","MEASURE_ET_DC_RF_CF_S12_Mag_L1002~16.82, TOPSIN_ET_C100Cap1pf~0.596",WEAK
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,Technology_PHEMT_0.25um,0.0078,0.01123,2/5,"MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2~16.23, Technology_PHEMT_0_25um~1","MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2~23.18, Technology_PHEMT_0_25um~0",WEAK
FIC_ET_Gate_res,SIN_ET_DC_RF_Vp_1,0.0078,0.00242,2/5,"FIC_ET_Gate_res~0.004824, SIN_ET_DC_RF_Vp_1~-0.8096","FIC_ET_Gate_res~6.597, SIN_ET_DC_RF_Vp_1~-1.224",WEAK
FIC_ET_Bad_Gates,THIN_ET_TF_AB_1,0.019,0.00176,1/5,"FIC_ET_Bad_Gates~17.97, THIN_ET_TF_AB_1~8.011","FIC_ET_Bad_Gates~12.62, THIN_ET_TF_AB_1~0.8094",INCONCLUSIVE
MEASURE_ET_lkg_50_at20V,THIN_ET_sh_f_hr_23,0.0146,0.00354,0/5,"MEASURE_ET_lkg_50_at20V~0.02393, THIN_ET_sh_f_hr_23~5.793","MEASURE_ET_lkg_50_at20V~0.3181, THIN_ET_sh_f_hr_23~-0.4848",INCONCLUSIVE
FIC_ET_Bad_Gates,THIN_ET_sh_f_hr_23,0.0134,0.00258,1/5,"FIC_ET_Bad_Gates~17.97, THIN_ET_sh_f_hr_23~5.793","FIC_ET_Bad_Gates~12.62, THIN_ET_sh_f_hr_23~-0.4848",INCONCLUSIVE
THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.0114,0.00204,1/5,"THIN_ET_sh_f_hr_23~5.793, TOPSIN_ET_DC_PIV_Drain_Lag_0~3.685","THIN_ET_sh_f_hr_23~-0.4848, TOPSIN_ET_DC_PIV_Drain_Lag_0~10.11",INCONCLUSIVE
FIC_ET_Bad_Gates,SIN_ET_DC_RF_Vp_1,0.0113,0.00266,1/5,"FIC_ET_Bad_Gates~17.97, SIN_ET_DC_RF_Vp_1~-0.8096","FIC_ET_Bad_Gates~12.62, SIN_ET_DC_RF_Vp_1~-1.224",INCONCLUSIVE
FIC_ET_Bad_Gates,TOPSIN_ET_DC_RF_Vp_01,0.0103,0.00139,1/5,"FIC_ET_Bad_Gates~17.97, TOPSIN_ET_DC_RF_Vp_01~-0.829","FIC_ET_Bad_Gates~12.62, TOPSIN_ET_DC_RF_Vp_01~-1.239",INCONCLUSIVE
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,MEASURE_ET_lkg_50_at20V,0.0098,0.0062,1/5,"MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2~16.23, MEASURE_ET_lkg_50_at20V~0.02393","MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2~23.18, MEASURE_ET_lkg_50_at20V~0.3181",INCONCLUSIVE
VendorName_EPI_C,Version_V2.0,0.0097,0.01001,1/5,"VendorName_EPI_C~0, Version_V2_0~0","VendorName_EPI_C~1, Version_V2_0~1",INCONCLUSIVE
FIC_ET_Bad_Gates,SIN_GATE_ET_Rsh_an_ct2,0.0096,0.00315,1/5,"FIC_ET_Bad_Gates~17.97, SIN_GATE_ET_Rsh_an_ct2~126.4","FIC_ET_Bad_Gates~12.62, SIN_GATE_ET_Rsh_an_ct2~105.5",INCONCLUSIVE
