unit,unit_type,cluster_size,oof_importance,cumulative_fraction
MEASURE_ET_RF_Modeling_Tau,numeric_cluster,1,0.001940719503028259,0.8734050041781144
MEASURE_ET_RF_Modeling_S22ang_10GHz,numeric_cluster,1,0.0019384902403393016,0.8738997544946787
TOPSIN_ET_C500pf,numeric_cluster,1,0.0019383921992954614,0.8743944797887606
STAGE_STD_Rcat_cn_2,engineered,1,0.001932635087099839,0.8748877357264219
SIN_ET_DC_RF_Vbgs_0p01,numeric_cluster,1,0.0019212856776695871,0.8753780950160673
MEASURE_ET_DC_Big_S22dB_10GHz,numeric_cluster,1,0.0019101507333017735,0.8758656123944478
TOPSIN_ET_sh_GA144,numeric_cluster,1,0.0019068237263092462,0.8763522806389361
MEASURE_ET_DC_Big_Vg_max_Vd,numeric_cluster,1,0.0018970381106895127,0.8768364513539941
MEASURE_ET_DC_RF_S12dB_10GHz,numeric_cluster,1,0.0018932307265426788,0.8773196503311125
MEASURE_ET_DC_Diode_Rs,numeric_cluster,1,0.0018819289655746425,0.8777999648212729
MEASURE_ET_RF_Modeling_R_Gg,numeric_cluster,1,0.0018631293583104666,0.8782754811899613
TOPSIN_ET_DC_RF_Vg_max_Vd,numeric_cluster,1,0.001855215234264707,0.878748977679831
