unit,cluster_size,oof_importance,cumulative_fraction
MEASURE_ET_DC_Diode_S21_dB_forw,1,0.0015499385798397915,0.9068287734081711
MEASURE_ET_DC_SEC_X_Ids_max_FPSD3p2,1,0.0015463360477659728,0.9072254067796137
SIN_ET_DC_RF_Vbgs1,1,0.0015321592754100784,0.9076184038256769
MEASURE_ET_TF_AB_2,1,0.0015271067483894948,0.9080101049045216
TOPSIN_ET_DC_SMALL_Vbgs1,1,0.0015179958839945673,0.9083994690574007
MEASURE_ET_DC_RD_S22dB_18GHz,1,0.0015167610276426117,0.9087885164710827
THIN_ET_Rsh_F_AB_2,1,0.0015142255125910145,0.9091769135281461
MEASURE_ET_DC_RF_Vds_max_0p1,1,0.001512320707121029,0.9095648220048542
MEASURE_ET_C20_0,1,0.0015000594545507523,0.9099495854847475
MEASURE_ET_DC_SMALL_Vdg_max,1,0.001499288805318365,0.910334151294022
MEASURE_ET_DC_SEC_X_Vboff_Id_plus_Ig,1,0.0014967006420338637,0.9107180532424682
MEASURE_ET_DC_SEC_X_Vboff_Id_plus_Ig_FPSD3p2,1,0.0014912528561621962,0.9111005578402673
MEASURE_ET_DC_SEC_S_Ron_FPSD3p2,1,0.0014879272737701454,0.9114822094301074
MEASURE_ET_DC_SEC_X_Ron_FPSD3p2,1,0.0014866359982409442,0.9118635298092981
MEASURE_ET_DC_SEC_S_Vg_at_I2_pos,1,0.001480433286330411,0.9122432592002033
TOPSIN_ET_DC_SMALL_Vbgs_0p1,1,0.0014775176382435754,0.912622240730815
THIN_ET_Er,1,0.0014635020110667636,0.9129976272695955
MEASURE_ET_DC_SEC_X_Ron,1,0.0014624640776952455,0.9133727475796911
MEASURE_ET_RF_Modeling_S11ang_10GHz,1,0.0014607451470783387,0.913747426986112
FIC_ET_Vds_max,1,0.0014595871407980482,0.9141218093652884
MEASURE_ET_DC_RF_Vdg_max,1,0.001453544750782566,0.9144946418785564
